model,emotion,language,n,f1,reliable
xlmr,Neutral,Hindi,25,0.450 ± 0.044,INDICATIVE (n<30)
xlmr,Neutral,Hinglish,26,0.423 ± 0.024,INDICATIVE (n<30)
xlmr,Nostalgia,English,29,0.834 ± 0.014,INDICATIVE (n<30)
xlmr,Nostalgia,Hindi,35,0.858 ± 0.052,yes
xlmr,Nostalgia,Hinglish,25,0.665 ± 0.037,INDICATIVE (n<30)
xlmr,Sadness,English,29,0.530 ± 0.046,INDICATIVE (n<30)
xlmr,Sadness,Hindi,27,0.645 ± 0.022,INDICATIVE (n<30)
xlmr,Sadness,Hinglish,26,0.597 ± 0.049,INDICATIVE (n<30)
xlmr,Surprise,English,31,0.804 ± 0.037,yes
xlmr,Surprise,Hindi,47,0.567 ± 0.058,yes
xlmr,Surprise,Hinglish,122,0.740 ± 0.018,yes
